ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,M. PENG Chang Hua,M. COUMET Jérôme,M. OLIVIER Jean-Baptiste,M. GRÉGOIRE Emmanuel,Mme MAZETIER Sandrine,Mme MONTANDON Valérie,Mme HERVIEU Céline    ,M. GANTZER Gaspard    ,M. LECOQ Jean-Pierre    ,M. FORT Bertil,Mme CORDEBARD Alexandra    ,M. AMELLAL Karim,M. RUPIN Pacôme    ,M. VÉRON Aurélien,M. WEIL Ariel,Mme LEMARDELEY Marie-Christine,Mme BERTHOUT Florence,Mme Garnier Nelly,M. VAUGLIN François,M. POITOUX Guillaume,Mme IBLED Catherine,Mme EVREN Agnès,Mme TORANIAN Anouch,M. VILLANI Cédric,Mme CARRERE-GEE Marie-Claire,M. AZIERE Éric,PETIT Carine,M. SZPINER Francis,Mme SEBBAH Hanna,Mme BUZIN Agnès ,M. BOULARD Geoffroy    ,Mme TAÏEB Karen,M. ROUXEL Olivier,DAGNAUD François,Mme TOUBIANA Marie,LEJOINDRE Eric,BOURNAZEL Pierre-Yves,M. GRANIER Rudolph,M. PLIEZ Eric,M. DIDIER François-Marie,Mme SIMONNET Danielle,Mme CALANDRA Frédérique,Mme D'HAUTESERRE Jeanne,Mme LÉCUYER Catherine   ,Mme MICHEL Athénaïs,Mme SEGOND Sophie    ,M. MAURIN Pierre,Mme BURKLI Delphine,M. NGATCHA Arnaud
13-50,Municipales,2020,2,2020-06-28,10,51,13,50,47,1685,711,711,13,10,688,55.0,462.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-51,Municipales,2020,2,2020-06-28,10,51,13,51,24,1703,692,692,12,12,668,72.0,408.0,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-52,Municipales,2020,2,2020-06-28,10,51,13,52,20,1359,568,568,7,3,558,78.0,349.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-53,Municipales,2020,2,2020-06-28,10,51,13,53,19,1300,400,400,7,9,384,35.0,244.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-54,Municipales,2020,2,2020-06-28,10,51,13,54,33,1690,713,713,15,8,690,68.0,463.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-55,Municipales,2020,2,2020-06-28,10,51,13,55,15,1257,456,456,9,9,438,40.0,265.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-56,Municipales,2020,2,2020-06-28,10,51,13,56,57,1636,658,658,22,7,629,46.0,398.0,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-57,Municipales,2020,2,2020-06-28,10,51,13,57,29,1534,608,608,14,11,583,56.0,381.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-58,Municipales,2020,2,2020-06-28,10,51,13,58,50,1639,683,683,10,7,666,80.0,437.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-59,Municipales,2020,2,2020-06-28,10,51,13,59,29,1780,711,711,18,18,675,85.0,404.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-60,Municipales,2020,2,2020-06-28,9,52,13,60,32,1598,569,569,12,9,548,60.0,380.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-61,Municipales,2020,2,2020-06-28,9,52,13,61,23,1581,693,693,13,5,675,78.0,405.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-62,Municipales,2020,2,2020-06-28,9,52,13,62,34,1696,761,761,18,15,728,86.0,424.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-63,Municipales,2020,2,2020-06-28,9,52,13,63,33,1345,596,596,14,14,568,86.0,322.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-64,Municipales,2020,2,2020-06-28,9,52,13,64,36,1421,550,550,9,5,536,65.0,355.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-65,Municipales,2020,2,2020-06-28,9,52,13,65,29,1682,718,718,20,11,687,77.0,436.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-66,Municipales,2020,2,2020-06-28,9,52,13,66,39,1652,655,655,15,10,630,83.0,374.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-67,Municipales,2020,2,2020-06-28,9,52,13,67,44,1500,559,559,6,7,546,52.0,334.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-68,Municipales,2020,2,2020-06-28,9,50,13,68,30,1516,557,557,12,4,541,39.0,387.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-69,Municipales,2020,2,2020-06-28,10,51,13,69,27,1393,561,561,13,7,541,50.0,356.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-70,Municipales,2020,2,2020-06-28,9,50,13,70,21,1209,425,425,22,6,397,40.0,250.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-71,Municipales,2020,2,2020-06-28,9,50,13,71,10,1373,487,487,16,4,467,59.0,293.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
