id_bvote, scrutin, annee, tour, date, num_circ, num_quartier, num_arrond, num_bureau, nb_procu, nb_inscr, nb_emarg, nb_blanc, nb_nul, nb_exprim
12-4,Municipales,2020,2,2020-06-28,8,46,12,4,27,1456,542,542,12,6
12-5,Municipales,2020,2,2020-06-28,8,46,12,5,36,1441,578,578,9,12
12-6,Municipales,2020,2,2020-06-28,8,46,12,6,76,1549,616,616,15,10
12-7,Municipales,2020,2,2020-06-28,8,46,12,7,49,1516,723,723,8,5
12-8,Municipales,2020,2,2020-06-28,8,46,12,8,26,1424,510,510,10,9
12-9,Municipales,2020,2,2020-06-28,8,46,12,9,25,1437,443,443,12,10
12-10,Municipales,2020,2,2020-06-28,8,46,12,10,27,1538,542,542,8,3
12-11,Municipales,2020,2,2020-06-28,8,46,12,11,41,1371,539,539,4,6
12-12,Municipales,2020,2,2020-06-28,8,46,12,12,33,1544,625,625,14,9
12-13,Municipales,2020,2,2020-06-28,8,46,12,13,38,1469,617,616,13,9
12-14,Municipales,2020,2,2020-06-28,8,46,12,14,28,1387,510,510,4,7
12-15,Municipales,2020,2,2020-06-28,8,46,12,15,24,1554,570,570,10,8
12-16,Municipales,2020,2,2020-06-28,8,46,12,16,29,1370,569,569,8,3
12-17,Municipales,2020,2,2020-06-28,8,46,12,17,29,1350,574,574,5,2
12-18,Municipales,2020,2,2020-06-28,8,46,12,18,45,1397,629,629,11,2
12-19,Municipales,2020,2,2020-06-28,8,46,12,19,29,1579,568,568,5,6
12-20,Municipales,2020,2,2020-06-28,8,46,12,20,42,1344,575,575,8,7
12-21,Municipales,2020,2,2020-06-28,8,46,12,21,25,1606,623,623,12,4
12-22,Municipales,2020,2,2020-06-28,8,46,12,22,27,1521,482,482,13,0
12-23,Municipales,2020,2,2020-06-28,8,46,12,23,22,1392,501,501,14,6
12-24,Municipales,2020,2,2020-06-28,8,46,12,24,15,1436,504,504,9,2
12-25,Municipales,2020,2,2020-06-28,8,46,12,25,25,1546,538,538,13,9
12-26,Municipales,2020,2,2020-06-28,8,46,12,26,33,1366,524,524,6,5
12-27,Municipales,2020,2,2020-06-28,8,46,12,27,21,1382,564,564,14,9
12-28,Municipales,2020,2,2020-06-28,8,46,12,28,18,1388,480,481,12,6
12-29,Municipales,2020,2,2020-06-28,8,46,12,29,21,1376,465,465,7,3
12-30,Municipales,2020,2,2020-06-28,8,45,12,30,40,1385,619,619,10,5
12-31,Municipales,2020,2,2020-06-28,8,45,12,31,37,1441,579,579,10,4
12-32,Municipales,2020,2,2020-06-28,8,45,12,32,26,1505,597,597,6,4
12-33,Municipales,2020,2,2020-06-28,8,45,12,33,37,1503,559,559,11,8
12-34,Municipales,2020,2,2020-06-28,8,45,12,34,37,1562,668,668,8,5
12-35,Municipales,2020,2,2020-06-28,8,45,12,35,26,1473,629,629,7,8
12-36,Municipales,2020,2,2020-06-28,8,45,12,36,0,1385,476,476,11,2
